timestamp,agents,width,height,episodes,max_steps,goal_bias,total_time_s,lengths
2026-03-14 14:23:45,6,100,100,300,180,0.6,133.3793,222|232|76|184|200|227
2026-03-14 14:27:03,6,100,100,300,180,0.6,134.1496,197|205|73|185|207|146
2026-03-14 14:40:30,6,100,100,300,180,0.6,137.4716,194|224|213|202|225|205
2026-03-14 15:03:55,6,100,100,300,180,0.6,111.7107,163|212|198|178|198|214
2026-03-14 15:04:41,6,100,100,300,180,0.6,139.6108,174|204|211|125|208|191
2026-03-14 15:13:35,6,100,100,300,180,0.6,132.3583,206|55|97|194|43|246
2026-03-14 15:19:43,6,100,100,300,180,0.6,131.546,232|194|229|173|205|176
2026-03-14 15:26:28,6,100,100,300,180,0.6,141.3247,179|206|139|186|125|33
2026-03-14 16:47:00,6,100,100,300,180,0.6,133.462,81|262|34|72|217|69
2026-03-14 16:50:45,6,100,100,300,180,0.6,133.0614,222|86|199|214|273|129
2026-03-14 17:02:53,6,100,100,300,180,0.6,133.9763,115|203|160|21|197|100
2026-03-14 17:46:25,6,100,100,300,180,0.6,109.1309,79|226|188|8|76|64
2026-03-14 17:48:52,6,100,100,300,180,0.6,108.5365,120|15|34|113|136|86
2026-03-14 18:28:53,6,100,100,500,150,0.8,177.9885,26|18|138|15|65|153
2026-03-14 18:41:36,6,100,100,500,150,0.8,176.2457,23|8|54|24|31|115
2026-03-14 18:52:12,6,100,100,500,150,0.8,173.2059,39|134|157|49|21|158
2026-03-14 21:24:07,6,100,100,500,150,0.8,185.8495,80|68|27|17|20|69
2026-03-14 21:36:45,6,100,100,500,150,0.8,736.9593,34|74|133|51|161|48
2026-03-14 22:30:12,6,100,100,300,120,0.8,92.2302,47|38|150|63|74|44
2026-03-14 22:41:39,6,100,100,300,120,0.8,88.9809,131|110|58|129|98|72
2026-03-14 22:48:39,6,100,100,300,120,0.8,89.1233,80|41|70|56|36|24
2026-03-15 14:04:31,6,100,100,300,120,0.8,91.3798,64|56|47|127|127|21
2026-03-15 14:09:36,6,100,100,300,120,0.8,94.5648,28|91|130|70|33|76
2026-03-15 14:11:25,6,100,100,300,120,0.8,91.956,73|67|48|25|119|72
2026-03-15 14:13:09,6,100,100,300,120,0.8,91.0083,72|29|38|127|23|132
2026-03-15 14:14:55,6,100,100,300,120,0.8,90.4896,16|154|43|91|141|49
2026-03-15 14:16:42,6,100,100,300,120,0.8,92.1793,51|135|55|11|47|38
2026-03-15 14:18:28,6,100,100,300,120,0.8,91.5403,194|112|128|23|30|69
2026-03-15 14:20:21,6,100,100,300,120,0.8,93.5521,98|77|68|38|83|39
2026-03-15 14:22:06,6,100,100,300,120,0.8,93.2408,45|19|34|101|132|97
2026-03-15 14:24:53,6,100,100,300,120,0.8,92.4501,64|30|2|46|89|126
2026-03-15 14:26:52,6,100,100,300,120,0.8,95.4654,7|5|39|82|74|44
2026-03-15 14:28:42,6,100,100,300,120,0.8,100.686,58|81|44|49|75|62
2026-03-15 14:29:43,6,100,100,300,120,0.8,100.5763,42|49|40|41|73|77
2026-03-15 14:30:36,6,100,100,300,120,0.8,95.7975,68|51|47|127|17|35
2026-03-15 14:32:42,6,100,100,300,120,0.8,93.5754,124|62|40|42|5|65
2026-03-15 14:34:28,6,100,100,300,120,0.8,92.3734,94|136|122|40|87|63
2026-03-15 14:39:31,10,100,100,300,120,0.8,181.5212,83|42|5|129|59|14|61|18|128|36
2026-03-15 14:44:10,10,100,100,300,120,0.8,164.2393,70|136|52|64|70|47|64|31|62|128
2026-03-15 14:53:05,10,100,100,300,120,0.8,201.7558,167|140|180|141|86|144|141|141|183|144
2026-03-15 15:13:23,10,100,100,300,120,0.7,199.1226,163|165|168|162|133|150|130|140|141|174
2026-03-15 15:17:14,10,100,100,300,120,0.7,208.6488,135|147|163|132|204|157|176|179|153|158
2026-03-15 15:27:47,10,100,100,300,120,0.75,212.6743,165|141|144|167|151|166|154|152|144|143
2026-03-15 15:45:04,10,100,100,300,120,0.75,210.9229,160|178|160|142|135|158|14|155|143|154
2026-03-15 15:48:41,10,100,100,300,120,0.75,200.999,143|151|197|173|154|155|152|144|153|186
2026-03-15 16:00:41,10,100,100,300,120,0.75,216.0821,152|159|163|149|186|183|140|154|184|203
2026-03-15 16:07:34,10,100,100,300,120,0.75,210.4186,185|157|164|166|196|167|122|171|163|177
2026-03-15 16:24:22,10,100,100,300,120,0.75,202.6223,167|149|135|128|179|136|150|161|151|171
2026-03-15 16:34:40,1,10,3,100,100,300,120,0.75,197.9478,176|138|141|134|155|17|146|168|137|140
2026-03-15 16:38:08,2,10,3,100,100,300,120,0.75,208.4343,139|192|153|164|169|154|194|135|179|80
2026-03-15 16:41:35,3,10,3,100,100,300,120,0.75,207.2976,165|181|193|154|140|205|135|150|131|128
2026-03-15 16:45:02,4,10,3,100,100,300,120,0.75,206.3974,140|55|131|155|166|159|132|134|143|162
2026-03-15 16:48:31,5,10,3,100,100,300,120,0.75,208.6335,170|146|168|150|146|176|168|141|137|186
2026-03-15 16:51:58,6,10,3,100,100,300,120,0.75,207.124,139|163|166|159|175|153|177|152|154|153
2026-03-15 16:55:27,7,10,3,100,100,300,120,0.75,208.8165,113|152|171|124|147|170|187|193|173|165
2026-03-15 16:58:55,8,10,3,100,100,300,120,0.75,208.6359,144|188|166|165|224|154|156|193|143|154
2026-03-15 17:02:24,9,10,3,100,100,300,120,0.75,208.882,18|145|154|143|136|176|132|165|168|142
2026-03-15 17:05:54,10,10,3,100,100,300,120,0.75,209.3176,153|159|159|65|172|139|128|176|152|173
2026-03-15 17:47:45,10,100,100,300,120,0.75,221.8135,136|141|138|162|131|180|178|182|132|150
2026-03-15 18:02:00,10,100,100,300,120,0.75,207.1867,120|120|120|120|120|120|120|120|120|120
2026-03-15 18:12:33,10,100,100,300,120,0.75,212.7556,120|120|120|120|120|120|120|120|31|120
2026-03-15 18:30:01,10,100,100,400,400,0.75,467.427,400|400|400|400|400|400|1|400|400|400
2026-03-15 18:48:03,10,100,100,400,400,0.75,470.864,400|357|64|400|400|400|400|400|400|400
2026-03-15 19:05:05,10,100,100,400,400,0.75,493.1092,400|400|400|400|400|400|400|400|400|400
2026-03-15 19:26:04,3,100,100,4000,400,0.4,1116.2318,321|167|122
2026-03-15 20:05:38,10,100,100,1000,200,0.4,944.6911,103|112|200|200|112|193|21|176|117|127
2026-03-15 20:48:12,5,200,200,1000,400,0.4,2016.7971,225|232|254|198|173
2026-03-16 00:49:07,5,300,300,1000,400,0.4,14393.3873,103|369|199|326|400
